utility_sum,utility,intersection_sum,final_intersection,score
0.9999983494592183,0.09999983494592182,0.0,1.0,0.3249998762094414
1.999983404359598,0.19999834043595982,260.0,0.9999986212367719,0.3999984106361628
2.9999449873913067,0.29999449873913064,452.0,0.9999976030731572,0.47499527482263726
3.99991006098883,0.399991006098883,2282.0,0.9999878987012051,0.5499902292494635
4.9998843850349886,0.49998843850349883,10100.0,0.999946440351521,0.6249779389655044
5.999839506465245,0.5999839506465245,21123.0,0.999887986093582,0.6999599595082889
6.999617938902821,0.6999617938902821,32298.0,0.999828725789448,0.7749285268650736
7.999266579491895,0.7999266579491895,51050.0,0.9997292851430838,0.849877314747663
8.998142720982527,0.8998142720982527,56763.0,0.9996989894726125,0.9247854514418428
9.998107559301719,0.9998107559301719,129759.0,0.9993118963933675,0.9996860410459708
