utility_sum,utility,intersection_sum,final_intersection,score
0.9999983494592183,0.09999983494592182,0.0,1.0,0.09999983494592182
1.999983404359598,0.19999834043595982,260.0,0.9999986212367719,0.19999834043595982
2.9999577284057573,0.2999957728405757,7367.0,0.9999609332742233,0.2999957728405757
3.9999228020032804,0.39999228020032807,9072.0,0.9999518917692077,0.39999228020032807
4.999887640322473,0.49998876403224723,62580.0,0.9996681422968499,0.49998876403224723
5.999849223354182,0.5999849223354181,63785.0,0.9996617522595808,0.5999849223354181
6.999807839858541,0.6999807839858541,161906.0,0.999141422926075,0.6999807839858541
7.9997629612887975,0.7999762961288798,191789.0,0.9989829553047385,0.7999762961288798
8.999626092875138,0.8999626092875138,343776.0,0.9981769780479682,0.8999626092875138
9.999404525312713,0.9999404525312713,382527.0,0.99797148399468,0.9999404525312713
