support,itemset,Total person's income,Total person's income_protected,Total person's income_div,Total person's income_t,length,support_count
0.10452339917804587,"frozenset({'Race/Ethnicity=White', 'Marital status=Married', 'With a disability=no', ""Educational attainment=Bachelor's degree""})",80618.33337561198,54877.21940667491,25741.113968937076,43.513110956353366,4,39421.0
0.11014185337398913,"frozenset({'Race/Ethnicity=White', 'Marital status=Married', ""Educational attainment=Bachelor's degree""})",79942.65767934521,54419.83592938733,25522.821749957882,44.372333601077734,3,41540.0
0.10093066419196606,"frozenset({'Race/Ethnicity=White', ""Educational attainment=Bachelor's degree"", 'Marital status=Married', 'Citizenship status=Born in the U.S.'})",80478.75216728839,54969.81274298056,25508.939424307828,42.297646180647476,4,38066.0
0.10418666313138009,"frozenset({'Marital status=Married', ""Educational attainment=Bachelor's degree"", 'With a disability=no', 'Citizenship status=Born in the U.S.'})",80276.0570061587,55519.053522861395,24757.00348329731,42.241929746833875,4,39294.0
0.11004109770648283,"frozenset({""Educational attainment=Bachelor's degree"", 'Marital status=Married', 'Citizenship status=Born in the U.S.'})",79553.60772974796,55034.56769502849,24519.040034719474,43.11164416010203,3,41502.0
0.12499535993636485,"frozenset({'Marital status=Married', 'With a disability=no', ""Educational attainment=Bachelor's degree""})",78779.93131390268,54997.3083365217,23782.622977380975,44.82072860921986,3,47142.0
0.11384064695744399,"frozenset({'Marital status=Married', 'With a disability=no', 'When last worked=Within past year', ""Educational attainment=Bachelor's degree""})",83529.40104809596,59802.59803547587,23726.803012620083,42.09579627244211,4,42935.0
0.11869813071722127,"frozenset({'Marital status=Married', 'When last worked=Within past year', ""Educational attainment=Bachelor's degree""})",83177.02722987915,59491.33106116433,23685.69616871482,42.980920058888856,3,44767.0
0.1316505369216492,"frozenset({'Marital status=Married', ""Educational attainment=Bachelor's degree""})",78081.52755176026,54511.928763550415,23569.59878820984,45.72810734243629,2,49652.0
0.10366167307437359,"frozenset({'Race/Ethnicity=White', 'Marital status=Married', 'With a disability=no', 'Age=55-64'})",71376.80327910784,48802.316863296895,22574.48641581095,38.05163239168588,4,39096.0
